compound,aurl,log(kappa),spacegroup_relax,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_entropy_300K_atom,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K,agl_bulk_modulus_isothermal_300K
Al1Si1Sr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1Si1Sr1_ICSD_158842,1.010198157,0.8114035087719298,0.17643954960781655,0.5305690904838727,0.030014984229883936,0.026055294533220686,0.11437928571303208,0.263827430427747,0.522512736433077,0.11845587266390706,0.11476394202076698
Pd2Ti1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Pd2Ti1_ICSD_167653,0.500484847,0.30263157894736836,0.10707387773545003,0.593245674087058,0.0312191365031907,0.027613952614901065,0.07453871818678029,0.37453749841480577,0.43733990658821464,0.34297684013467894,0.336005615909304
Al1C1Gd3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1C1Gd3_ICSD_43854,0.992790261,0.9605263157894736,0.12405361078532869,0.4168708417983836,0.051030209464863904,0.04815616319474154,0.07295913621437383,0.3400962405419193,0.46301123331972677,0.15702406862990106,0.15514223845205785
Cl8Mg2Na4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cl4Mg1Na2_ICSD_69343,-0.039134589,0.23245614035087717,0.12959575112322802,0.5444405409429623,0.15236621597549432,0.14209143588563203,0.24000343997851767,0.33903306923726584,0.4638131944710688,0.06592041948573013,0.06105357751258207
Au2Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Au2Sc1_ICSD_612299,0.563291188,0.6008771929824561,0.09432398317479969,0.6214417211374643,0.03176635778428996,0.02784573064218388,0.09595082936829005,0.40454070264049974,0.4153696441015487,0.2310670259315973,0.22409764730900536
C12Ce8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/C3Ce2_ICSD_74661,0.815951453,0.9561403508771928,0.2208078052808215,0.5120574236307774,0.18753235231452214,0.18779204814225509,0.061200025975347974,0.21349156539322478,0.5651564117425515,0.35421371416627667,0.34988989982370255
Br24Cs8Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Br6Cs2Te1_ICSD_24151,-0.610196237,0.9780701754385964,0.06469341501366714,0.5922824148802667,0.4082696183387414,0.38417167972514615,0.24160232795280906,0.49649717421032813,0.3495152374873989,0.04312156089404259,0.03959261791465922
Yb1Zn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Yb1Zn1_ICSD_104206,0.493583511,0.9605263157894736,0.07316677163037372,0.528463903023869,0.022482492202262654,0.017436108307840543,0.24965995110316244,0.46782293411545084,0.36986759522161056,0.060198383307812194,0.05557920924521356
B4Ta6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Ta3_ICSD_107320,1.329788264,0.5482456140350876,0.21937804722786614,0.46673504218865586,0.09312646480452391,0.09194822939573073,0.04136749676624468,0.214259520311623,0.5644753311247077,0.5644427682786636,0.5618698965767192
Mn6Sn6Zr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn6Sn6Zr1_ICSD_54928,0.148701347,0.8289473684210525,0.10566912040067565,0.5693532205895745,0.13918533291885116,0.13346839033400432,0.1482525435657483,0.3818639648776848,0.4319456127808612,0.11753529414437543,0.1121359434201711
Br1Na1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Br1Na1_ICSD_18013,0.124047519,0.9780701754385964,0.07700744799697311,0.5731544692873425,0.02403232961114352,0.017434979636956824,0.416605969766801,0.4674237544835376,0.3701515291613011,0.0370219330331381,0.0319752406083292
Hf3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1_ICSD_187430,1.168780243,0.8289473684210525,0.10707906656375175,0.42882613146976994,0.030806249366925022,0.0275990250322454,0.05540822540985763,0.37283191271481286,0.4385992291610756,0.24144738934655285,0.23959536184428656
Ge26Rh8Tb6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge13Rh4Tb3_ICSD_637696,0.230773244,0.969298245614035,0.1500222813004392,0.5721756736417319,0.40583162475855833,0.40627906555080195,0.08664884664189645,0.29928772426514905,0.4942818546140957,0.23545408694150738,0.22986584470730276
Dy4Pd4Sn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Dy1Pd1Sn1_ICSD_103348,0.160720571,0.26315789473684204,0.09155173372669054,0.580174350227158,0.1264578188689526,0.12369919770432712,0.08735088307407712,0.4093985324116698,0.41184065419823057,0.20095897382303626,0.19603433570607026
Au1Mn1Sn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au1Mn1Sn1_ICSD_240860,0.055882676,0.9385964912280701,0.06514578649924424,0.6492830195014986,0.03282426537106053,0.02826297478177877,0.13930157905544505,0.4882860393740197,0.35532968135801163,0.1392965707768574,0.13245108373787243
Cd3Dy3Ga3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cd1Dy1Ga1_ICSD_619800,0.522478141,0.8201754385964911,0.11647697804149186,0.5517090049038853,0.09433672952591854,0.09048751081976678,0.11385275838889655,0.35743358293339367,0.45001995881943024,0.14390355281512549,0.1392583158217269
La1P2Ru2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/La1P2Ru2_ICSD_40795,1.11676377,0.6008771929824561,0.19723778857609636,0.5661112836892981,0.04808261235552792,0.045096008750330506,0.05768984381444474,0.2377787526784022,0.5441208309183538,0.35311865284738664,0.3485751002105966
Ag1Yb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Yb1_ICSD_58378,-0.117474893,0.9605263157894736,0.04106113236932136,0.571339295351964,0.02257449327805352,0.017650519367009333,0.22783890369990747,0.5895040668754367,0.2841932915814377,0.06311415446271566,0.058612623448250634
In2Li1Rh1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2Li1Rh1_ICSD_106806,0.406252258,0.9780701754385964,0.1107970978977651,0.6281120322038476,0.042712040824167574,0.038127740349190385,0.13386079670604503,0.370725185812234,0.44015556602986383,0.18843597071960522,0.17971824415943147
B4Co4Re4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B1Co1Re1_ICSD_20079,0.836830919,0.26315789473684204,0.19959304491341284,0.5595264230364205,0.11514489994795687,0.11365293457706553,0.05839188024662539,0.23532384698140268,0.5462042835911441,0.5821863967030022,0.5746726148963367
Ge4Ru4Tb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Ru1Tb1_ICSD_85912,0.360937835,0.26315789473684204,0.10993150699470564,0.5335028880142346,0.12406977272171595,0.12239940575113885,0.06927344494542542,0.36775634859896295,0.44235261483086874,0.2773072396730265,0.27291352734440205
