compound,aurl,log(kappa),agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K
F3Na1V1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/F3Na1V1_ICSD_60611,0.421501921,0.04656947,0.176685019,0.512120551,0.140478192
La4Sb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/La2Sb1_ICSD_10442,0.548157159,0.059887059,0.08787741,0.407986911,0.114083579
P1Sn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/P1Sn1_ICSD_77786,0.856975263,0.01676211,0.112097667,0.469051652,0.153163864
C1Ce1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,1.459407567,0.015838202,0.055759244,0.532252122,0.311710795
B1In1Sc3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1In1Sc3_ICSD_44421,1.074926097,0.045445897,0.083489683,0.53725069,0.166996624
Pt1Sb1Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pt1Sb1Tb1_ICSD_77950,0.753363942,0.027763993,0.075767282,0.423695742,0.215985169
B1C7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1C7_ICSD_181952,2.162026432,0.014173776,0.017305198,0.96378771,0.840525448
Fe4Si4Ta4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Fe1Si1Ta1_ICSD_633568,0.818041708,0.116132734,0.062604099,0.525090834,0.370189795
Hf3Rh3Sn3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Rh1Sn1_ICSD_638836,0.454363059,0.090859608,0.061902062,0.440296293,0.33019961
B4Nb6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Nb3_ICSD_107319,1.427106179,0.08334084,0.04066546,0.622613906,0.523820992
O3Re1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O3Re1_ICSD_105546,1.337143659,0.032738519,0.048914388,0.594116095,0.511193708
Er3Pd3Sn3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Pd1Sn1_ICSD_657630,0.262370394,0.09168463,0.08998352,0.414527991,0.201887277
Hf2Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Hf1Si2_ICSD_16697,1.142595926,0.054820783,0.06628979,0.545807994,0.299353868
